name,birth,death,term_start,term_end,term_start2,term_end2,party,position
Louis Botha,1862-09-27,1919-08-27,1910-05-31,1919-08-27,,,South African Party,Prime Minister
Jan Christiaan Smuts,1870-05-24,1950-09-11,1919-09-03,1924-06-30,1939-09-05,1948-06-04,South African Party,Prime Minister
James Barry Munnik Hertzog,1866-04-06,1942-11-21,1924-06-30,1939-09-05,,,National Party-United Party,Prime Minister
Daniel François Malan,1874-05-22,1959-02-07,1948-06-04,1954-11-30,,,National Party,Prime Minister
Johannes Gerhardus Strijdom,1893-07-14,1958-08-24,1954-11-30,1958-08-24,,,National Party,Prime Minister
Hendrik Frensch Verwoerd,1901-09-08,1966-09-06,1958-09-02,1966-09-06,,,National Party,Prime Minister
Balthazar Johannes Vorster,1915-12-13,1983-09-10,1966-09-13,1978-10-02,,,National Party,Prime Minister
Pieter Willem Botha,1916-01-12,2006-10-31,1978-10-09,1984-09-14,1984-09-03,1989-01-19,National Party,Prime Minister
Jan Christiaan Heunis,1927-04-20,2006-01-27,1989-01-19,1989-03-15,,,National Party,President
Frederik Willem de Klerk,1936-03-18,,1989-03-15,1994-05-10,,,National Party,President
Nelson Rolihlahla Mandela,1918-07-18,2013-12-05,1994-05-10,1999-06-16,,,African National Congress,President
Thabo Mvuyelwa Mbeki,1942-06-18,,1999-06-16,2008-09-24,,,African National Congress,President
Ivy Florence Matsepe-Casaburri,1937-09-18,2009-04-06,2008-09-25,2008-09-25,,,African National Congress,President
Kgalema Petrus Motlanthe,1949-07-19,,2008-09-25,2009-05-09,,,African National Congress,President
Jacob Gedleyihlekisa Zuma,1942-04-12,,2009-05-09,2018-02-14,,,African National Congress,President
Matamela Cyril Ramaphosa,1952-11-17,,2018-02-14,2020-07-07,,,African National Congress,President
